ID,Name,Sector,City,Funding Stage,International Presence,English Requirement
1,Webhelp Morocco,BPO / Customer Experience,Casablanca,Subsidiary (Concentrix),"Global — serves EU, US, UK clients",Very High — English customer support
2,Majorel Morocco,BPO / CX,Casablanca,Subsidiary (Teleperformance),Global — 30+ countries,Very High — multilingual support incl. English
3,Groupe Outsourcia,BPO / Call Center,Casablanca,Established (IPO Casablanca Bourse),"France, Francophone Africa",High — expanding to English-speaking markets
4,Intelcia,BPO / IT Services,Casablanca,Growth (backed by Al Mada),"16 countries across Africa, Europe",Very High — English accounts growing
5,Comdata Morocco,BPO / Customer Mgmt,Casablanca,Subsidiary (Comdata Group),"Europe, LATAM",High — English-speaking client accounts
6,Sitel Morocco (Foundever),BPO / CX,Casablanca,Subsidiary (Foundever),"Global — US, EU, UK clients",Very High — native-level English support
7,Talensia Group,BPO / Customer Service,Casablanca,Established,"France, Europe",High — expanding into English accounts
8,MSS Connect,BPO / Back-office,Casablanca,Established,Europe,High — English back-office processing
9,Fusion BPO Services Morocco,BPO / Customer Engagement,Casablanca,Subsidiary (Fusion BPO),"Global — US, EU, Asia",Very High — English-first operations
10,Call IT Dev,BPO / AI Solutions,Casablanca,Growth,"Europe, North America",Very High — 24/7 multilingual incl. English
11,Infomineo,Research & BPO,Casablanca,Growth (VC-backed),"Middle East, Europe, US",Very High — English-language research delivery
12,Tingis Group,BPO / IT Outsourcing,Tangier,Established,"Europe, Middle East",High — English client-facing roles
13,EOL Center,BPO / Digital Services,Casablanca,Established,"France, Europe",High — growing English demand
14,Offshore Valley,BPO / Nearshore,Casablanca,Established,Europe,High — English technical support
15,Finatech Group,BPO / Financial Services,Casablanca,Established,"Europe, Africa",High — English financial processing
16,Right Place Call Morocco,BPO / Call Center,Casablanca,Established,"Europe, North America",High — English call center operations
17,Xceed Morocco,BPO / Managed Services,Casablanca,Subsidiary (Xceed),"MENA, Europe",High — English client management
18,Newco Communications,BPO / Teleservices,Casablanca,Established,"France, Europe",Medium-High — growing English portfolio
19,E-Call Services Maroc,BPO / Customer Relations,Casablanca,Established,Europe,Medium-High — English accounts
20,Notoriety Group,BPO / Digital Marketing,Casablanca,Established,"Europe, Africa",High — English content creation
21,Digital Works Coutreach preparation phase — ranking, scoring, and building outreach sequences.ompany,BPO / Data Processing,Casablanca,Established,"Europe, US",High — English data operations
22,Cosmos Call Center,BPO / Call Center,Casablanca,Established,Europe,Medium-High — English-speaking agents
23,Cyclad Ihttps://crm.talksmiths.net/crm/loginnternational,IT Staffing / BPO,Casablanca,Established,"France, Europe",High — English technical placements
24,Atlas International Development (AID),Sales Outsourcing,Casablanca,Established,"Europe, Africa",High — B2B English sales
25,Phone Group,BPO / Customer Relations,Casablanca,Established,"France, Francophone Africa",Medium-High — English expansion
26,Acticall Sitel Morocco,BPO / CX,Rabat,Subsidiary,Global,Very High — English support lines
27,Almaviva Morocco,BPO / IT Services,Casablanca,Subsidiary (Almaviva),"Italy, Europe",High — English IT service desk
28,B2S Morocco,BPO / Back-office,Rabat,Subsidiary,"France, Europe",Medium-High — English documentation
29,CBI Morocco,BPO / Business Intelligence,Casablanca,Established,"Europe, Africa",High — English reporting & analytics
30,Arvato Morocco (Bertelsmann),BPO / SCM,Casablanca,Subsidiary (Bertelsmann),Global,Very High — English supply chain ops
31,Capgemini Morocco,IT Consulting / Digital,Casablanca,Subsidiary (Capgemini),Global — 50+ countries,Very High — English project delivery
32,Accenture Morocco,IT Consulting / Tech,Casablanca,Subsidiary (Accenture),Global,Very High — English as working language
